eer_code,standardised_name,name_in_csv,,,,
E15000001,North East,North East,,,,
E15000002,North West,North West,,,,
E15000003,Yorkshire and The Humber,Yorkshire,,,,
E15000004,East Midlands,East Midlands,,,,
E15000005,West Midlands,West Midlands,,,,
E15000006,Eastern,Eastern,,,,
E15000007,London,London,,,,
E15000008,South East,South East,,,,
E15000009,South West,South West,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
